2025-04-03 01:03:20,471 [DEBUG] Scanner:251 - 探测任务被取消: http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
025-04-03 01:03:06,482 [INFO] Main:111 - 加载Scanner配置: address=http://192.168.50.1:20231/rtp/239.21.1.[1-20]:5002, timeout=25, threads=20
2025-04-03 01:03:07,030 [ERROR] Main:1351 - 恢复分隔条位置失败: 'MainWindow' object has no attribute 'config_file'
2025-04-03 01:03:20,404 [INFO] Main:1018 - 正在验证频道: CCTV1 - http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
2025-04-03 01:04:49,160 [INFO] Main:1321 - 保存分隔条位置: left=[353, 337], right=[463, 216]
2025-04-03 01:04:49,170 [INFO] Main:1321 - 保存分隔条位置: left=[357, 333], right=[463, 216]
2025-04-03 01:04:49,180 [INFO] Main:1321 - 保存分隔条位置: left=[358, 332], right=[463, 216]
2025-04-03 01:04:49,191 [INFO] Main:1321 - 保存分隔条位置: left=[361, 329], right=[463, 216]
2025-04-03 01:04:49,202 [INFO] Main:1321 - 保存分隔条位置: left=[363, 327], right=[463, 216]
2025-04-03 01:04:49,211 [INFO] Main:1321 - 保存分隔条位置: left=[364, 326], right=[463, 216]
2025-04-03 01:04:49,222 [INFO] Main:1321 - 保存分隔条位置: left=[365, 325], right=[463, 216]
2025-04-03 01:04:49,233 [INFO] Main:1321 - 保存分隔条位置: left=[366, 324], right=[463, 216]
2025-04-03 01:04:49,355 [INFO] Main:1321 - 保存分隔条位置: left=[365, 325], right=[463, 216]
2025-04-03 01:04:49,365 [INFO] Main:1321 - 保存分隔条位置: left=[365, 325], right=[463, 216]
2025-04-03 01:04:49,370 [INFO] Main:1321 - 保存分隔条位置: left=[363, 327], right=[463, 216]
2025-04-03 01:04:49,380 [INFO] Main:1321 - 保存分隔条位置: left=[359, 331], right=[463, 216]
2025-04-03 01:04:49,391 [INFO] Main:1321 - 保存分隔条位置: left=[357, 333], right=[463, 216]
2025-04-03 01:04:49,403 [INFO] Main:1321 - 保存分隔条位置: left=[351, 339], right=[463, 216]
2025-04-03 01:04:49,412 [INFO] Main:1321 - 保存分隔条位置: left=[349, 341], right=[463, 216]
2025-04-03 01:04:49,424 [INFO] Main:1321 - 保存分隔条位置: left=[347, 343], right=[463, 216]
2025-04-03 01:04:49,437 [INFO] Main:1321 - 保存分隔条位置: left=[343, 347], right=[463, 216]
2025-04-03 01:04:49,449 [INFO] Main:1321 - 保存分隔条位置: left=[341, 349], right=[463, 216]
2025-04-03 01:04:49,459 [INFO] Main:1321 - 保存分隔条位置: left=[336, 354], right=[463, 216]
2025-04-03 01:04:49,470 [INFO] Main:1321 - 保存分隔条位置: left=[335, 355], right=[463, 216]
2025-04-03 01:04:49,482 [INFO] Main:1321 - 保存分隔条位置: left=[333, 357], right=[463, 216]
2025-04-03 01:04:49,492 [INFO] Main:1321 - 保存分隔条位置: left=[331, 359], right=[463, 216]
2025-04-03 01:04:49,503 [INFO] Main:1321 - 保存分隔条位置: left=[329, 361], right=[463, 216]
2025-04-03 01:04:49,514 [INFO] Main:1321 - 保存分隔条位置: left=[329, 361], right=[463, 216]
2025-04-03 01:04:49,522 [INFO] Main:1321 - 保存分隔条位置: left=[328, 362], right=[463, 216]
2025-04-03 01:04:49,539 [INFO] Main:1321 - 保存分隔条位置: left=[327, 363], right=[463, 216]
2025-04-03 01:04:49,551 [INFO] Main:1321 - 保存分隔条位置: left=[326, 364], right=[463, 216]
2025-04-03 01:04:49,563 [INFO] Main:1321 - 保存分隔条位置: left=[325, 365], right=[463, 216]
2025-04-03 01:04:49,574 [INFO] Main:1321 - 保存分隔条位置: left=[325, 365], right=[463, 216]
2025-04-03 01:04:49,578 [INFO] Main:1321 - 保存分隔条位置: left=[324, 366], right=[463, 216]
2025-04-03 01:04:49,592 [INFO] Main:1321 - 保存分隔条位置: left=[322, 368], right=[463, 216]
2025-04-03 01:04:49,603 [INFO] Main:1321 - 保存分隔条位置: left=[320, 370], right=[463, 216]
2025-04-03 01:04:49,613 [INFO] Main:1321 - 保存分隔条位置: left=[319, 371], right=[463, 216]
2025-04-03 01:04:49,625 [INFO] Main:1321 - 保存分隔条位置: left=[319, 371], right=[463, 216]
2025-04-03 01:04:49,634 [INFO] Main:1321 - 保存分隔条位置: left=[317, 373], right=[463, 216]
2025-04-03 01:04:49,646 [INFO] Main:1321 - 保存分隔条位置: left=[316, 374], right=[463, 216]
2025-04-03 01:04:49,658 [INFO] Main:1321 - 保存分隔条位置: left=[315, 375], right=[463, 216]
2025-04-03 01:04:49,683 [INFO] Main:1321 - 保存分隔条位置: left=[314, 376], right=[463, 216]
2025-04-03 01:04:49,693 [INFO] Main:1321 - 保存分隔条位置: left=[312, 378], right=[463, 216]
2025-04-03 01:04:49,708 [INFO] Main:1321 - 保存分隔条位置: left=[311, 379], right=[463, 216]
2025-04-03 01:04:49,719 [INFO] Main:1321 - 保存分隔条位置: left=[311, 379], right=[463, 216]
2025-04-03 01:04:49,722 [INFO] Main:1321 - 保存分隔条位置: left=[311, 379], right=[463, 216]
2025-04-03 01:04:49,818 [INFO] Main:1321 - 保存分隔条位置: left=[310, 380], right=[463, 216]
2025-04-03 01:04:49,831 [INFO] Main:1321 - 保存分隔条位置: left=[309, 381], right=[463, 216]
